epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,88.4054,0.70347,0.86824,1,0.34128,0.000415094,0.000415094,0.000415094
2,174.322,0.358,0.88949,1,0.33469,0.000776865,0.000776865,0.000776865
3,259.609,0.32091,0.8392,1,0.47253,0.00108364,0.00108364,0.00108364
4,344.904,0.291,0.90626,1,0.28342,0.0010025,0.0010025,0.0010025
5,429.395,0.25807,0.90909,1,0.25139,0.00092,0.00092,0.00092
6,516.7,0.23635,0.90555,1,0.27481,0.0008375,0.0008375,0.0008375
7,601.904,0.22813,0.93365,1,0.18901,0.000755,0.000755,0.000755
8,687.669,0.21442,0.93058,1,0.20945,0.0006725,0.0006725,0.0006725
9,774.045,0.19792,0.92468,1,0.21658,0.00059,0.00059,0.00059
10,859.469,0.18455,0.92515,1,0.21385,0.0005075,0.0005075,0.0005075
11,944.774,0.18308,0.93294,1,0.19579,0.000425,0.000425,0.000425
12,1031.53,0.16068,0.94404,1,0.16987,0.0003425,0.0003425,0.0003425
13,1116.92,0.15197,0.9497,1,0.14676,0.00026,0.00026,0.00026
14,1202.76,0.13925,0.94545,1,0.15681,0.0001775,0.0001775,0.0001775
15,1289,0.13985,0.94545,1,0.15635,9.5e-05,9.5e-05,9.5e-05
